,Company Name,Company Rating,Company Type,Company Locations
231,GeBBS Healthcare Solutions,3.7,BPO , Culver City +19 more
232,Wipro Consumer Care & Lighting,3.9,FMCG , Bangalore/Bengaluru +96 more
233,Ceat Tyres,4.1,Auto Components , Mumbai +116 more
234,Kotak Mahindara Life Insurance,3.9,Insurance , Mumbai +213 more
235,Dabur,3.8,FMCG , Ghaziabad +255 more
236,Axis Direct,3.9,Financial Services , San Mateo +257 more
237,JK Cement,4.2,Building Material , Nimbahera +249 more
238,Conduent,3.6,BPO , Florham Park +22 more
239,InterGlobe Aviation,3.6,Aviation , Gurgaon/Gurugram +90 more
240,Synechron,3.6,IT Services & Consulting , New York +27 more
241,Shoppers Stop,4.1,Retail , Mumbai +66 more
242,Birlasoft,3.8,IT Services & Consulting , Pune +36 more
243,ACC,4.0,Building Material , Mumbai +223 more
244,Lenskart,3.3,Internet , Faridabad +171 more
245,HARMAN,3.9,Consumer Electronics & Appliances , Stamford +31 more
246,ArcelorMittal Nippon Steel,4.1,Iron & Steel , Surat +71 more
247,Reliance SMSL,4.0,BPO , Mumbai +490 more
248,GATI-KWE,4.0,Logistics , Hyderabad/Secunderabad +156 more
249,Indiabulls Home Loans,3.8,NBFC , Gurgaon/Gurugram +190 more
250,KPIT Technologies,3.6,Software Product , Pune +32 more
251,PepsiCo,4.1,Food Processing , Harrison +228 more
252,UPL,4.2,Agriculture , Mumbai +160 more
253,S&P Global,4.2,Analytics & KPO , New York City +25 more
254,Torrent Pharmaceuticals,4.0,Pharma , Ahmedabad +101 more
255,Dilip Buildcon,4.0,Engineering & Construction , Bhopal +194 more
256,RSPL Group,4.2,FMCG , Kanpur +208 more
257,Tech Mahindra Business Services,3.5,BPO , Mumbai +49 more
258,Square Yards,3.7,Internet , Gurgaon +43 more
259,Titan Company,4.4,Retail , Bangalore +146 more
260,TVS Credit,4.4,NBFC , Chennai +316 more
261,Wipro Enterprises Ltd,3.9,IT Services & Consulting , Bangalore +103 more
262,Tata AIG,4.1,Insurance , Mumbai +225 more
263,EY Global Delivery Services ( EY GDS),3.7,Accounting & Auditing , Bangalore/Bengaluru +38 more
264,IDFC FIRST Bharat,4.6,NBFC , Tiruchirappalli +307 more
265,Aditya Birla Sun Life Insurance,4.2,Insurance , Mumbai +374 more
266,Bajaj Electricals,4.1,Consumer Electronics & Appliances , Mumbai +199 more
267,Alstom Transportation,3.8,Urban Transport , Saint-Ouen +67 more
268,Statestreet HCL Services,3.3,BPO , New Delhi +16 more
269,IGT Solutions,3.4,BPO , Gurgaon/Gurugram +35 more
270,Afcons Infrastructure,4.4,Engineering & Construction , Mumbai +100 more
271,Apollo Tyres,4.1,Auto Components , Gurgaon/Gurugram +153 more
272,Mankind Pharma,4.1,Pharma , New Delhi +198 more
273,Simplex Infrastructures,3.3,Engineering & Construction , Kolkata +132 more
274,Domino's Pizza,4.0,Hospitality , Ypsilanti +217 more
275,Suzlon Group,4.1,Power , Pune +108 more
276,Capita,3.8,IT Services & Consulting , Indore +25 more
277,Zensar Technologies,3.8,IT Services & Consulting , Pune +22 more
278,Flex,4.1,Logistics , San Jose +39 more
279,State Street Corporation,3.8,Financial Services , Boston +20 more
280,Max Healthcare,4.1,Healthcare , Delhi/NCR +59 more
281,KocharTech,4.1,IT Services & Consulting , Gurgaon/Gurugram +24 more
282,Huawei Technologies,4.0,Telecom , Gurgaon/Gurugram +100 more
283,Bajaj Allianz General Insurance,4.0,Insurance , Pune +221 more
284,Tata Technologies,3.8,Engineering & Construction , Singapore +40 more
285,Croma,4.0,Retail , Mumbai +149 more
286,I Process Services,3.9,Recruitment , Mumbai +308 more
287,McDonald's,4.2,Hospitality , Chicago +138 more
288,Taj Hotels Resorts and Palaces,4.2,Hospitality , Mumbai +94 more
289,Grasim Industries,4.1,Building Material , Nagda +118 more
290,HDFC Sales,4.1,Financial Services , Mumbai +283 more
291,Nestle,4.1,Food Processing , Vevey +236 more
292,ElasticRun,3.4,Logistics , Pune +349 more
293,UNO Minda,4.1,Auto Components , Gurgaon +88 more
294,Landmark Group,4.0,Retail , Dubai Marina +141 more
295,Walmart,4.0,Retail , Bangalore/Bengaluru +80 more
296,AGS Health,4.0,BPO , Washington DC +39 more
297,Lava International,4.1,Consumer Electronics & Appliances , Noida +212 more
298,Nokia,4.2,Telecom , Espoo +152 more
299,Blue Dart Express,4.1,Logistics , Mumbai +240 more
300,Patanjali Ayurved,4.1,FMCG , Haridwar +259 more
301,Tractors and Farm Equipment,4.1,Industrial Machinery , Chennai +164 more
302,G4S,4.0,Law Enforcement & Security , Gurgaon/Gurugram +139 more
303,Fortis Healthcare,4.1,Healthcare , Gurgaon/Gurugram +61 more
304,Capgemini Engineering,3.6,Gurgaon / Gurugram +21 more,NA
305,Societe Generale Global Solution Centre,3.9,Financial Services , Paris +16 more
306,State Street Syntel,3.7,Financial Services , Mumbai +21 more
307,BlackBuck,3.9,Internet , Bangalore +323 more
308,TVS Supply Chain Solutions,4.0,Logistics , Chennai +132 more
309,Britannia,4.1,FMCG , Bengaluru +235 more
310,Micro Labs,3.7,Pharma , Bangalore/Bengaluru +123 more
311,Fiserv,3.6,FinTech , Brookfield +29 more
312,KFintech,3.6,FinTech , Hyderabad +99 more
313,Voltas,4.1,Consumer Electronics & Appliances , Mumbai +176 more
314,Sterlite Technologies,3.8,Hardware & Networking , Pune +80 more
315,Shree Cement,4.0,Building Material , Kolkata +203 more
316,Kyndryl,4.1,IT Services & Consulting , New York City +27 more
317,Exide Industries,3.6,Auto Components , Kolkata +187 more
318,Ola Cabs,3.5,Internet , Bangalore +96 more
319,Yazaki,3.9,Auto Components , Tokyo +69 more
320,Radisson Hotels,4.1,Hospitality , Minnetonka +103 more
321,Dalmia Bharat Cement,4.0,Building Material , Delhi/NCR +206 more
322,Himalaya Wellness,4.2,Pharma , San Francisco +195 more
323,Quest Global,3.7,IT Services & Consulting , Singapore +35 more
324,Lifestyle,4.4,Retail , Bangalore/Bengaluru +114 more
325,IKS Health,3.6,Healthcare , Mumbai +16 more
326,Eureka Forbes,3.8,Consumer Electronics & Appliances , Mumbai +161 more
327,Ajanta Pharma,4.1,Pharma , Mumbai +97 more
328,Blue Star,4.1,Consumer Electronics & Appliances , Mumbai +135 more
329,ACT Fibernet,4.0,Telecom , Bengaluru/Bangalore +43 more
330,Motilal Oswal Financial Services,3.8,Financial Services , Mumbai +129 more
331,XpressBees,3.7,Logistics , Pune +241 more
332,Aditya Birla Group,4.1,Building Material , Mumbai +224 more
333,Extramarks Education,3.5,EdTech , Noida +101 more
334,Sonalika Tractors,3.8,Automobile , Hoshiarpur +151 more
335,DS Group,4.1,FMCG , Noida +213 more
336,Nokia Networks,4.3,Hardware & Networking , Chennai +82 more
337,Life Insurance Corporation of India,4.4,Insurance , Mumbai +418 more
338,Mahindra Rural Housing Finance,4.1,NBFC , Mumbai +416 more
339,Cholamandalam MS General Insurance,3.9,Insurance , Chennai +326 more
340,Zomato,3.8,Internet , Gurgaon +185 more
341,Mahindra Logistics,4.0,Logistics , Mumbai +134 more
342,Delhi Public School,3.9,Education & Training , Greater Noida +239 more
343,Indus Towers,3.9,Telecom , Gurgaon +162 more
344,PVR Cinemas,4.1,Media & Entertainment , Gurgaon +108 more
345,Future Retail,4.3,Retail , San Francisco +197 more
346,JMC Projects,4.2,Engineering & Construction , Mumbai +118 more
347,Ninjacart,4.1,Internet , Bangalore +95 more
348,Emcure Pharmaceuticals,3.8,Pharma , Pune +97 more
349,Rivigo,3.9,Internet , Gurgaon +151 more
350,SRF,4.3,Chemicals , Gurgaon/Gurugram +48 more
351,Myntra,4.0,Internet , Bangalore +94 more
352,V-Mart,4.2,Retail , Gurgaon/Gurugram +242 more
353,Kalpataru Power Transmission,4.2,Engineering & Construction , Mumbai +212 more
354,Parle Agro,4.2,Beverage , Mumbai +198 more
355,Datamatics Global Services,3.6,IT Services & Consulting , Mumbai +28 more
356,Movate,3.4,IT Services & Consulting , Plano +29 more
357,Kansai Nerolac Paints,3.9,Chemicals , Mumbai +186 more
358,Renault-Nissan,4.1,Automobile , Chennai +77 more
359,Pfizer,4.1,Pharma , Chennai +114 more
360,Tata Teleservices,4.0,Telecom , Mumbai +146 more
361,Fujitsu,3.9,IT Services & Consulting , Bangalore/Bengaluru +31 more
362,Mahindra Holidays & Resorts,3.6,Hospitality , Mumbai +96 more
363,VVDN Technologies,3.7,IT Services & Consulting , Gurgaon +34 more
364,Indian Railways,4.2,Railways , Delhi/NCR +211 more
365,MSN Laboratories,3.8,Pharma , Hyderabad/Secunderabad +71 more
366,3i Infotech,3.6,IT Services & Consulting , Mumbai +107 more
367,BHEL,4.2,Electrical Equipment , Bangalore/Bengaluru +97 more
368,KPMG Global Services,3.7,Bangalore / Bengaluru +31 more,NA
369,Raymond,4.1,Fashion & Textile , New York +129 more
370,ICICI Securities,3.8,Financial Services , Mumbai +126 more
371,Reliance Trends,4.4,Retail , Navi Mumbai +340 more
372,Blinkit,3.8,Internet , Gurgaon +64 more
373,Cybage,3.9,IT Services & Consulting , Pune +10 more
374,Ambuja Cements,3.9,Building Material , Mumbai +201 more
375,JCB,4.0,Industrial Machinery , Rocester +92 more
376,Cadila Pharmaceuticals,3.6,Pharma , Ahmedabad +116 more
377,suzuki motor gujarat,4.3,Becharaji +96 more,NA
378,Info Edge,4.0,Internet , Noida +59 more
379,Shell,4.2,Oil & Gas , London +74 more
380,GlaxoSmithKline Pharmaceuticals,4.2,Pharma , Brentford +182 more
381,Foundever,3.8,BPO , Miami +15 more
382,Poonawalla Fincorp,3.8,NBFC , Mumbai +246 more
383,ZS,3.5,Management Consulting , Evanston +12 more
384,PhonePe,4.1,FinTech , Bangalore +241 more
385,Whirlpool,4.1,Consumer Electronics & Appliances , Michigan +141 more
386,Bharat Petroleum,4.2,Oil & Gas , Mumbai +223 more
387,Tata Elxsi,4.0,IT Services & Consulting , Bangalore/Bengaluru +26 more
388,Jindal Stainless,4.2,Iron & Steel , Delhi/NCR +58 more
389,Endurance Technologies,3.9,Auto Components , Aurangabad +39 more
390,NoBroker,3.2,Internet , Bangalore +37 more
391,Force Motors,3.6,Automobile , Pune +87 more
392,ITC Hotels,4.2,Hospitality , Kolkata +76 more
393,Fincare Small Finance Bank,4.1,Banking , Bangalore +364 more
394,Shahi Exports,4.1,Retail , Faridabad +58 more
395,Syngene International,3.9,Pharma , Bangalore/Bengaluru +14 more
396,GVK Emergency Management and Research Institute,3.7,Non-Profit , Hyderabad/Secunderabad +151 more
397,Delphi TVS,4.0,Auto Components , Kanchipuram +38 more
398,Bharti AXA Life Insurance,3.9,Insurance , Mumbai +220 more
399,Kalyan Jewellers,4.7,Jewellery , Bangalore / Bengaluru +132 more
400,Sobha,4.0,Real Estate , Bangalore/Bengaluru +35 more
401,Care Health Insurance,3.7,Internet , Gurgaon +198 more
402,Brakes India,4.0,Auto Components , Chennai +74 more
403,Lodha group,4.1,Real Estate , Mumbai +23 more
404,Aavas Financiers,4.0,Financial Services , Jaipur +235 more
405,HCL Infosystems,4.0,IT Services & Consulting , Noida +104 more
406,Citicorp,3.7,Financial Services , Mumbai +23 more
407,Sterling & Wilson,4.1,Engineering & Construction , Mumbai +101 more
408,Dhani Loans and Services,3.9,NBFC , New Delhi +180 more
409,Bureau Veritas,4.0,Other , Paris La Défense +113 more
410,CAMS,3.7,IT Services & Consulting , Chennai +89 more
411,Sopra Steria,4.0,IT Services & Consulting , Paris +15 more
412,KENT RO Systems,4.1,Consumer Electronics & Appliances , Noida +139 more
413,Gallagher,3.9,Insurance , Rolling Meadows +16 more
414,Unacademy,3.2,EdTech , Bangalore +57 more
415,Varroc Group,3.8,Auto Components , Aurangabad +34 more
416,Coromandel International,4.1,Agro Chemicals , Hyderabad/Secunderabad +146 more
417,Future Generali India Life Insurance,3.8,Insurance , Mumbai +173 more
418,Canara HSBC Life Insurance,3.7,Insurance , Gurgaon/Gurugram +247 more
419,Allsec Technologies,4.0,BPO , Chennai +26 more
420,Cisco,4.3,Hardware & Networking , San Jose +37 more
421,Tata Motors Finance,4.2,NBFC , Mumbai +226 more
422,RMSI,3.8,IT Services & Consulting , Noida +13 more
423,Power Mech Projects,3.9,Engineering & Construction , Hyderabad/Secunderabad +118 more
424,Star Health & Allied Insurance,3.8,Insurance , Chennai +249 more
425,café Coffee day,4.0,Hospitality , Bengaluru +93 more
426,Adani Wilmar,4.2,FMCG , Ahmedabad +153 more
427,IntouchCX,3.0,BPO , Winnipeg +18 more
428,JK Tyres,3.8,Auto Components , New Delhi +129 more
429,Gabriel India,4.2,Auto Components , Pune +41 more
430,KIA MOTORS,3.9,Automobile , Seoul +139 more
431,Straive,3.5,Analytics & KPO , Singapore +23 more
432,DBS Bank,3.9,Banking , Hyderabad/Secunderabad +143 more
433,Lucas-TVS,4.0,Auto Components , Chennai +62 more
434,Bank of Baroda,3.6,Banking , Vadodara/Baroda +247 more
